Environmental criteria (T/F),Publication Year,Close Year,Municipality,District,Submission deadline (range),Diference between close and signing dates,Execution deadline (days),Base Bid Price Class,I. price Class,Award criteria class,Classification of the multifactor criteria (%),Published in the EU journal,Number of bidders,Signing Year,Signing Month,Signing Day,Closing Date Year,Closing Date Month,Closing Date Day,E. price Class,Difference between the effective and initial price class,engineering work,refurbishment work,surfaced work,Justification for deadline change
0,2020,2022,Almada,Setúbal,Very Long,Medium Days,Long Deadline,Low Price,Low Price,2,1.0,False,0.1,2021,1,11,2022,5,31,Low Price,Low Difference,0,0,0,Not Specified
0,2020,2022,Viseu,Viseu,Long,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.05,2020,8,28,2022,3,14,Low Price,Medium Difference,0,0,0,specify
0,2022,2022,Loulé,Faro,Long,Few Days,Short Deadline,Low Price,Low Price,0,0.0,False,0.125,2022,3,16,2022,6,11,Low Price,Medium Difference,0,0,0,carry delivery
0,2020,2022,Viseu,Viseu,Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2021,2,8,2022,5,3,Low Price,Medium Difference,0,0,0,change
0,2021,2022,Viseu,Viseu,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.225,2021,5,20,2022,4,29,Low Price,Medium Difference,0,0,0,change
0,2020,2022,Viseu,Viseu,Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,9,8,2022,4,20,Low Price,High Difference,0,0,0,change
0,2021,2022,Viseu,Viseu,Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.1,2021,3,8,2022,4,29,Low Price,High Difference,0,0,0,specify
0,2022,2022,Valpaços,Vila Real,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2022,5,10,2022,8,9,Low Price,Medium Difference,0,0,1,Not Specified
0,2022,2022,Cantanhede,Coimbra,Very Short,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.17500000000000002,2022,4,27,2022,6,23,Low Price,Medium Difference,0,0,0,Not Specified
0,2022,2022,Valpaços,Vila Real,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.1,2022,4,20,2022,8,3,Low Price,Medium Difference,0,0,1,extension
0,2021,2022,Póvoa de Varzim,Porto,Very Short,Few Days,Short Deadline,Low Price,Low Price,0,0.0,False,0.1,2021,9,28,2022,6,30,Low Price,Medium Difference,0,0,0,suspension
0,2021,2022,Santo Tirso,Porto,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2022,2,10,2022,5,23,Low Price,High Difference,0,0,1,specify
0,2020,2022,Viseu,Viseu,Medium,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.1,2020,7,15,2022,1,21,Low Price,Low Difference,0,0,0,Not Specified
0,2020,2022,Setúbal,Setúbal,Short,Medium Days,Short Deadline,Low Price,Low Price,1,0.7000000000000001,False,0.07500000000000001,2020,11,26,2022,3,24,Low Price,Medium Difference,0,0,0,Not Specified
1,2020,2022,Setúbal,Setúbal,Medium,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.4,2020,12,21,2022,5,19,Low Price,Medium Difference,0,0,0,Not Specified
0,2021,2022,Almada,Setúbal,Long,Few Days,Short Deadline,Low Price,Low Price,0,0.0,False,0.025,2021,10,4,2022,1,27,Low Price,Medium Difference,0,0,0,delay
0,2020,2022,Barreiro,Setúbal,Very Long,Few Days,Short Deadline,High Price,Low Price,1,0.6,False,0.30000000000000004,2021,4,16,2022,1,20,Low Price,Low Difference,0,0,0,specify
0,2021,2022,Matosinhos,Porto,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.325,2022,2,16,2022,6,6,Low Price,Medium Difference,0,0,0,change
0,2021,2022,Marco de Canaveses,Porto,Short,Few Days,Short Deadline,Low Price,Low Price,0,0.0,False,0.125,2022,2,14,2022,6,29,Low Price,Low Difference,0,0,0,Not Specified
0,2018,2022,Fundão,Castelo Branco,Medium,Many Days,Medium Deadline,Medium Price,Medium Price,2,1.0,False,0.275,2019,3,7,2022,1,21,Medium Price,Low Difference,1,0,0,delay
0,2021,2022,Porto,Porto,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.25,2022,1,4,2022,2,3,Low Price,Medium Difference,0,0,0,Not Specified
0,2021,2022,Lisboa,Lisboa,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.375,2022,1,20,2022,7,19,Low Price,Medium Difference,0,1,0,Not Specified
0,2021,2022,Lisboa,Lisboa,Very Short,Few Days,Short Deadline,Medium Price,Low Price,0,0.0,False,0.4,2022,1,19,2022,3,15,Low Price,Medium Difference,0,1,0,Not Specified
0,2021,2022,Lisboa,Lisboa,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.375,2022,1,20,2022,5,9,Low Price,Medium Difference,0,1,0,delay
0,2021,2022,Lisboa,Lisboa,Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.375,2022,1,20,2022,5,23,Low Price,Medium Difference,0,1,0,delay
0,2021,2022,Lisboa,Lisboa,Medium,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.35000000000000003,2022,1,19,2022,6,30,Low Price,Medium Difference,0,1,0,delay
0,2021,2022,Lisboa,Lisboa,Long,Few Days,Short Deadline,Medium Price,Low Price,2,1.0,False,0.42500000000000004,2022,1,17,2022,5,10,Low Price,Medium Difference,0,1,0,delay
0,2021,2022,Lisboa,Lisboa,Short,Few Days,Short Deadline,High Price,Low Price,0,0.0,False,0.375,2022,1,17,2022,6,24,Low Price,Low Difference,0,1,0,delay
